,key_id_x,tournament_id,tournament_name,position,team_id,team_name_x,team_code_x,key_id_y,team_name_y,team_code_y,mens_team,womens_team,federation_name,region_name,confederation_id,confederation_name,confederation_code,mens_team_wikipedia_link,womens_team_wikipedia_link,federation_wikipedia_link
0,1,WC-1930,1930 FIFA Men's World Cup,1,T-84,Uruguay,URY,84,Uruguay,URY,1,0,Uruguayan Football Association,South America,CF-4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Uruguay_national_football_team,not applicable,https://en.wikipedia.org/wiki/Uruguayan_Football_Association
1,2,WC-1930,1930 FIFA Men's World Cup,2,T-03,Argentina,ARG,3,Argentina,ARG,1,1,Argentine Football Association,South America,CF-4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Argentina_national_football_team,https://en.wikipedia.org/wiki/Argentina_women's_national_football_team,https://en.wikipedia.org/wiki/Argentine_Football_Association
2,3,WC-1930,1930 FIFA Men's World Cup,3,T-83,United States,USA,83,United States,USA,1,1,United States Soccer Federation,North America,CF-3,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,https://en.wikipedia.org/wiki/United_States_men%27s_national_soccer_team,https://en.wikipedia.org/wiki/United_States_women's_national_soccer_team,https://en.wikipedia.org/wiki/United_States_Soccer_Federation
3,4,WC-1930,1930 FIFA Men's World Cup,4,T-87,Yugoslavia,YUG,87,Yugoslavia,YUG,1,0,Football Association of Yugoslavia,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Yugoslavia_national_football_team,not applicable,https://en.wikipedia.org/wiki/Football_Association_of_Yugoslavia
4,5,WC-1934,1934 FIFA Men's World Cup,1,T-41,Italy,ITA,41,Italy,ITA,1,1,Italian Football Association,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Italy_national_football_team,https://en.wikipedia.org/wiki/Italy_women's_national_football_team,https://en.wikipedia.org/wiki/Italian_Football_Federation
5,6,WC-1934,1934 FIFA Men's World Cup,2,T-21,Czechoslovakia,CSK,21,Czechoslovakia,CSK,1,0,Football Association of the Czechoslovakia,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Czechoslovakia_national_football_team,not applicable,https://en.wikipedia.org/wiki/Football_Association_of_the_Czech_Republic
6,7,WC-1934,1934 FIFA Men's World Cup,3,T-31,Germany,DEU,31,Germany,DEU,1,1,Germany Football Association,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Germany_national_football_team,https://en.wikipedia.org/wiki/Germany_women's_national_football_team,https://en.wikipedia.org/wiki/German_Football_Association
7,8,WC-1934,1934 FIFA Men's World Cup,4,T-05,Austria,AUT,5,Austria,AUT,1,0,Austrian Football Association,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Austria_national_football_team,not applicable,https://en.wikipedia.org/wiki/Austrian_Football_Association
8,9,WC-1938,1938 FIFA Men's World Cup,1,T-41,Italy,ITA,41,Italy,ITA,1,1,Italian Football Association,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Italy_national_football_team,https://en.wikipedia.org/wiki/Italy_women's_national_football_team,https://en.wikipedia.org/wiki/Italian_Football_Federation
9,10,WC-1938,1938 FIFA Men's World Cup,2,T-36,Hungary,HUN,36,Hungary,HUN,1,0,Hungary Football Association,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Hungary_national_football_team,not applicable,https://en.wikipedia.org/wiki/Hungarian_Football_Federation
10,11,WC-1938,1938 FIFA Men's World Cup,3,T-09,Brazil,BRA,9,Brazil,BRA,1,1,Brazilian Football Confederation,South America,CF-4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Brazil_national_football_team,https://en.wikipedia.org/wiki/Brazil_women's_national_football_team,https://en.wikipedia.org/wiki/Brazilian_Football_Confederation
11,12,WC-1938,1938 FIFA Men's World Cup,4,T-74,Sweden,SWE,74,Sweden,SWE,1,1,Swedish Football Association,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Sweden_national_football_team,https://en.wikipedia.org/wiki/Sweden_women's_national_football_team,https://en.wikipedia.org/wiki/Swedish_Football_Association
